#Frame      Mode1    Mode2    Mode3
     661  -58.691  -56.756   -4.253
     662  -57.423  -53.638   -7.055
     663  -57.378  -64.846  -12.319
     664  -51.705  -58.543  -15.945
     665  -48.238  -58.770   -6.758
     666  -46.333  -59.053  -17.630
     667  -45.350  -56.421  -14.639
     668  -40.316  -46.749   -9.423
     669  -39.655  -48.479   -7.770
     670  -37.882  -50.148  -12.231
     671  -44.918  -52.552  -16.476
     672  -35.760  -45.507  -12.185
     673  -34.331  -32.976   -4.553
     674  -30.551  -46.430  -27.650
     675  -40.749  -37.889   -6.907
     676  -34.738  -44.801  -15.919
     677  -35.284  -39.157   -9.282
     678  -33.631  -55.530  -11.752
     679  -32.845  -48.276  -17.771
     680  -47.752  -44.762  -19.471
     681  -48.347  -54.419  -14.172
     682  -45.778  -55.054  -13.407
     683  -48.142  -54.726  -22.520
     684  -38.095  -53.654  -22.884
     685  -42.961  -48.465  -23.313
     686  -43.119  -50.693  -18.357
     687  -48.235  -47.580  -20.774
     688  -56.771  -45.674   -4.613
     689  -58.100  -43.933   -6.041
     690  -61.891  -42.565  -15.424
     691  -61.506  -38.717  -17.168
     692  -55.525  -39.819  -15.728
     693  -51.611  -46.867  -20.091
     694  -45.068  -52.890  -30.339
     695  -49.632  -53.523  -30.227
     696  -38.605  -50.660  -36.378
     697  -40.054  -47.976  -35.465
     698  -48.482  -58.207  -35.515
     699  -49.744  -58.266  -20.633
     700  -50.208  -56.933  -32.825
     701  -47.338  -41.753  -25.381
     702  -57.870  -37.604  -26.860
     703  -66.175  -40.273  -17.546
     704  -54.935  -42.190  -18.418
     705  -53.033  -38.015  -21.600
     706  -41.758  -36.157  -25.633
     707  -31.506  -42.110  -29.766
     708  -40.483  -35.952  -22.767
     709  -42.508  -38.300  -21.473
     710  -37.493  -33.489  -10.337
     711  -35.179  -33.604  -14.329
     712  -31.272  -37.382  -20.823
     713  -28.814  -48.446  -19.889
     714  -29.429  -48.115  -16.259
     715  -40.199  -45.346  -18.348
     716  -40.524  -41.045  -16.440
     717  -49.179  -36.765  -15.349
     718  -46.971  -46.380  -18.579
     719  -48.266  -35.756  -20.980
     720  -50.442  -32.958  -16.515
     721  -53.169  -48.653  -16.430
     722  -45.873  -52.737  -12.542
     723  -44.004  -64.076  -16.556
     724  -35.147  -60.998  -21.946
     725  -43.800  -55.439  -11.097
     726  -40.673  -63.479  -20.798
     727  -41.443  -64.019  -22.486
     728  -43.489  -65.946  -14.097
     729  -51.883  -66.248  -24.043
     730  -51.410  -66.793  -16.389
